Nationality,Wage(in Euro)
Afghanistan,1000.0
Albania,9828.846153846154
Algeria,17992.241379310344
Andorra,2000.0
Angola,10587.5
Antigua and Barbuda,5333.333333333333
Argentina,8360.832443970117
Armenia,16437.5
Australia,2218.5454545454545
Austria,8126.989619377163
Azerbaijan,2785.714285714286
Barbados,800.0
Belarus,1233.3333333333333
Belgium,13301.25786163522
Benin,5346.666666666667
Bermuda,15000.0
Bolivia,588.9312977099237
Bosnia and Herzegovina,9649.193548387097
Brazil,18745.673076923078
Bulgaria,3415.217391304348
Burkina Faso,11926.470588235294
Burundi,10475.0
Cameroon,11427.631578947368
Canada,5666.463414634146
Cape Verde Islands,6586.206896551724
Central African Republic,24933.333333333332
Chad,4000.0
Chile,4117.3184357541895
China PR,2294.0774487471526
Chinese Taipei,5000.0
Colombia,6522.818791946309
Comoros,5072.727272727273
Congo,5375.0
Congo DR,11544.444444444445
Costa Rica,7835.714285714285
Croatia,13239.520958083833
Cuba,6400.0
Curacao,4833.333333333333
Cyprus,2048.0
Czech Republic,6176.699029126214
Côte d'Ivoire,14809.405940594059
Denmark,8622.012578616352
Dominican Republic,37166.666666666664
Ecuador,2469.8863636363635
Egypt,43346.153846153844
El Salvador,1783.3333333333333
England,10879.779411764706
Equatorial Guinea,7556.25
Estonia,2905.0
Ethiopia,550.0
Faroe Islands,1020.0
Fiji,2000.0
Finland,4324.285714285715
France,13463.55140186916
Gabon,18939.285714285714
Gambia,6452.857142857143
Georgia,5894.827586206897
Germany,8687.998338870431
Ghana,9394.444444444445
Gibraltar,2000.0
Greece,8157.386363636364
Grenada,7400.0
Guam,2000.0
Guatemala,750.0
Guinea,12000.0
Guinea Bissau,5357.142857142857
Guyana,2800.0
Haiti,2770.0
Honduras,7440.909090909091
Hong Kong,2666.6666666666665
Hungary,8489.024390243903
Iceland,3626.3636363636365
India,510.50228310502285
Indonesia,1000.0
Iran,10300.0
Iraq,3000.0
Israel,8047.368421052632
Italy,12266.45264847512
Jamaica,14568.181818181818
Japan,12031.25
Jordan,4250.0
Kazakhstan,7000.0
Kenya,2955.0
Korea DPR,4000.0
Korea Republic,3670.846394984326
Kosovo,7575.0
Latvia,2270.0
Lebanon,3000.0
Liberia,1585.7142857142858
Libya,8666.666666666666
Liechtenstein,3000.0
Lithuania,2725.0
Luxembourg,6339.285714285715
Madagascar,6285.714285714285
Mali,11268.939393939394
Malta,6000.0
Mauritania,1991.6666666666667
Mauritius,3000.0
Mexico,8767.5
Moldova,3612.5
Montenegro,11455.555555555555
Montserrat,11000.0
Morocco,12903.77358490566
Mozambique,10450.0
Namibia,2900.0
Netherlands,11123.831775700935
New Zealand,3421.951219512195
Nigeria,12136.259541984733
North Macedonia,8334.48275862069
Northern Ireland,6130.985915492958
Norway,4007.1045576407505
Palestine,2000.0
Panama,3753.846153846154
Papua New Guinea,500.0
Paraguay,2556.15763546798
Peru,2077.4834437086092
Philippines,10000.0
Poland,5655.0
Portugal,15323.03664921466
Puerto Rico,1166.6666666666667
Qatar,0.0
Republic of Ireland,4129.220779220779
Romania,3183.1378299120233
Russia,12065.0
Saint Kitts and Nevis,6875.0
Saint Lucia,4000.0
Saudi Arabia,4921.752265861027
Scotland,8692.490842490843
Senegal,12339.015151515152
Serbia,14905.339805825242
Sierra Leone,6045.454545454545
Singapore,2000.0
Slovakia,9392.307692307691
Slovenia,9708.333333333334
South Africa,1207.2289156626507
South Sudan,750.0
Spain,13797.392923649906
Sudan,3250.0
Suriname,5857.142857142857
Sweden,4387.948717948718
Switzerland,8843.577981651377
Syria,1750.0
São Tomé e Príncipe,500.0
Tanzania,10000.0
Thailand,5500.0
Togo,7029.411764705882
Trinidad and Tobago,1758.3333333333333
Tunisia,7393.548387096775
Turkey,10092.52669039146
Uganda,2295.0
Ukraine,5505.056179775281
United Arab Emirates,547.3684210526316
United States,4078.83295194508
Uruguay,6775.5395683453235
Uzbekistan,31666.666666666668
Venezuela,1850.0
Vietnam,2000.0
Wales,8073.780487804878
Zambia,16304.545454545454
Zimbabwe,13633.333333333334
